service_log_id,shipment_id,crate_model_id,service_region_id,technician_employee_id,service_date,service_type,expected_units,inspected_units,passed_units,scrapped_units,service_cost,inspection_notes
1080,10817,34,10,2,2025-03-07,Decommission,10,10,9,0,21.96,Seal wear
1081,25419,112,8,98,2025-10-01,Wash & Inspect,12,12,12,0,65.56,
1082,25985,31,4,277,2023-05-16,Repair,60,60,59,1,94.90,
1083,11787,15,11,124,2025-01-05,Wash & Inspect,80,76,76,0,80.37,Count adjusted by hub
1084,18873,96,5,232,2024-02-21,Wash & Inspect,10,10,10,0,59.60,Odor detected
1085,14408,39,11,157,2023-03-30,Decommission,20,20,20,0,10.23,
1086,16399,110,5,170,2023-10-24,Wash & Inspect,40,40,40,0,93.69,awaiting QA
1087,15839,31,5,73,2023-05-02,Wash & Inspect,6,6,6,0,54.97,
1088,21335,73,6,2,2024-01-27,Repair,16,16,16,0,27.73, 
1089,23151,29,7,54,2023-03-19,Wash & Inspect,8,8,8,0,54.27, 
1090,8305,89,1,167,2024-02-04,Wash & Inspect,60,60,60,0,77.44,Odor detected
1091,19820,39,2,275,2026-03-17,Wash & Inspect,24,20,20,0,24.02,
1092,7612,75,5,53,2023-08-12,Wash & Inspect,12,12,12,0,8.40,RFID unreadable
1093,6941,7,2,132,2024-03-18,Cycle Count,8,16,16,0,96.64, 
1094,20442,53,11,132,2026-02-28,Wash & Inspect,10,10,10,0,89.49,
1095,27031,7,8,274,2025-03-27,Wash & Inspect,32,32,31,0,40.82,
1096,25663,20,1,88,2023-04-05,Wash & Inspect,12,12,12,0,31.93,
1097,15856,114,1,170,2025-04-08,Wash & Inspect,16,24,24,0,65.25,
1098,11179,111,1,275,2023-05-11,wash & inspect,20,20,19,0,76.62,
1099,7742,83,6,2,2024-09-12,Wash & Inspect,10,10,10,0,70.16,Seal wear
1100,4078,29,6,98,2023-05-02,Repair,4,4,4,0,47.72,Seal wear
1101,3717,90,10,286,2025-08-01,Repair,60,61,57,4,136.00,
1102,9066,42,1,286,2024-06-12,Wash & Inspect,10,10,5,5,205.80,RFID unreadable
1103,20369,89,7,157,2025-06-10,Wash & Inspect,16,16,15,0,38.98,Count adjusted by hub
1104,23118,109,6,286,2023-09-08,Wash & Inspect,40,40,39,0,11.55,
1105,8833,59,5,73,2025-04-05,Wash & Inspect,10,10,6,4,158.45,
1106,9758,117,5,86,2023-09-06,Wash & Inspect,6,14,10,4,150.42,
1107,14890,52,9,170,2025-03-24,Cycle Count,80,72,72,0,54.31,
1108,9315,99,10,2,2025-08-29,wash & inspect,20,20,20,0,66.53,RFID unreadable
1109,7337,84,8,157,2024-08-21,Wash & Inspect,80,80,77,3,157.79,
1110,18112,49,8,157,2023-09-13,Repair,60,60,60,0,68.91,Count adjusted by hub
1111,8789,2,11,124,2025-04-10,Wash & Inspect,60,59,59,0,79.71,
1112,17999,21,7,170,2024-07-07,Wash & Inspect,12,12,10,2,114.85,awaiting QA
1113,16404,37,10,227,2024-12-08,wash & inspect,60,60,60,0,15.70,Seal wear
1114,3987,26,4,157,2025-11-17,Repair,16,20,20,0,74.31,Odor detected
1115,23239,62,9,157,2024-05-15,Wash & Inspect,60,59,59,0,85.40,RFID unreadable
1116,15667,62,8,86,2024-05-15,Wash & Inspect,16,16,16,0,48.61,Seal wear
1117,15047,37,3,157,2024-10-27,Repair,12,12,12,0,60.76, 
1118,15271,53,8,124,2024-11-10,Wash & Inspect,8,8,8,0,46.95,Odor detected
1119,9656,16,1,100,2024-12-29,Repair,10,10,10,0,36.77,Seal wear
1120,24215,16,10,232,2026-06-07,Wash & Inspect,4,4,4,0,62.74, 
1121,21906,95,1,132,2026-01-24,Wash & Inspect,6,6,5,0,20.68,
1122,1039,111,9,227,2025-06-04,Wash & Inspect,20,22,22,0,21.23,awaiting QA
1123,5674,78,11,132,2024-07-18,Wash & Inspect,6,6,5,0,96.13,awaiting QA
1124,14122,15,2,6,2025-05-21,Repair,40,44,44,0,17.69,RFID unreadable
1125,10179,48,6,38,2023-10-25,Repair,8,8,8,0,45.17,
1126,25626,45,5,6,2023-07-12,Wash & Inspect,12,20,20,0,94.64, 
1127,11479,66,9,98,2025-08-24,Wash & Inspect,32,32,32,0,94.69,Count adjusted by hub
1128,17249,78,5,157,2025-01-30,Cycle Count,16,16,16,0,69.39,Seal wear
1129,10619,36,8,232,2023-12-26,Wash & Inspect,32,32,32,0,78.88,Seal wear
1130,14037,95,11,277,2025-03-15,Wash & Inspect,60,60,60,0,11.66,awaiting QA
1131,21990,1,3,53,2024-02-18,Wash & Inspect,40,40,40,0,35.65,Odor detected
1132,9474,40,7,274,2025-07-07,Wash & Inspect,4,0,0,0,81.97,
1133,10120,61,1,170,2025-02-25,Wash & Inspect,40,40,40,0,57.65, 
1134,10160,112,4,141,2025-01-26,Cycle Count,8,8,8,0,88.77,
1135,18530,91,2,167,2025-04-02,Repair,40,40,40,0,30.50,Odor detected
1136,6407,42,2,124,2025-07-13,Cycle Count,10,10,10,0,78.78,awaiting QA
1137,1832,31,8,88,2023-01-30,wash & inspect,16,8,8,0,29.04,Odor detected
1138,15348,39,11,232,2023-06-11,wash & inspect,6,0,0,0,71.24,Count adjusted by hub
1139,10508,33,6,170,2025-06-03,Decommission,24,24,24,0,43.70,Odor detected
1140,26744,99,4,27,2026-02-28,Cycle Count,8,8,6,1,114.58,Seal wear
1141,23808,106,6,100,2025-02-28,Wash & Inspect,60,60,60,0,76.49,
1142,1365,62,1,167,2023-02-09,Decommission,16,16,16,0,86.16,Odor detected
1143,15792,103,6,6,2024-10-27,wash & inspect,60,60,60,0,50.12,
1144,6710,95,7,132,2023-08-06,Cycle Count,60,60,56,4,152.93,
1145,11363,56,8,38,2025-10-07,Wash & Inspect,32,32,28,4,113.70,Seal wear
1146,6191,89,9,170,2026-04-12,wash & inspect,10,6,6,0,48.71,Seal wear
1147,25690,21,2,98,2023-07-09,Repair,60,60,59,0,93.80,Count adjusted by hub
1148,6963,21,5,54,2023-05-13,Decommission,40,40,40,0,46.82,
1149,10300,52,8,54,2024-01-02,Wash & Inspect,8,8,7,0,85.10,
1150,22573,14,3,157,2023-06-05,Repair,60,60,59,1,71.57,Seal wear
1151,24801,34,7,274,2025-11-30,wash & inspect,4,8,8,0,65.37,
1152,22076,67,7,100,2023-02-22,Wash & Inspect,20,20,19,0,27.41,RFID unreadable
1153,12479,29,3,141,2026-05-15,Wash & Inspect,16,16,16,0,12.26,
1154,25899,9,7,2,2024-05-11,Wash & Inspect,4,4,4,0,43.72,
1155,9581,48,10,227,2023-08-19,Wash & Inspect,24,24,24,0,67.92, 
1156,12761,13,5,275,2023-01-15,Repair,20,20,19,1,118.60,Seal wear
1157,14798,52,8,2,2025-03-05,Repair,60,60,60,0,81.67,Count adjusted by hub
1158,402,30,6,170,2023-05-28,wash & inspect,60,62,62,0,11.14,Count adjusted by hub
1159,19788,28,10,217,2026-03-26,Cycle Count,80,80,80,0,38.25,RFID unreadable
1160,2061,48,11,217,2024-12-20,Wash & Inspect,60,60,60,0,27.04,
1161,21314,97,7,167,2023-03-18,Repair,4,4,3,0,58.72,Count adjusted by hub
1162,11921,74,1,283,2024-06-24,Repair,8,8,7,0,26.93,
1163,25121,73,6,283,2025-11-24,Wash & Inspect,16,16,16,0,64.88,Seal wear
1164,6922,94,11,227,2025-09-11,Repair,40,40,40,0,64.98,Count adjusted by hub
1165,13353,95,11,132,2026-07-03,Wash & Inspect,4,4,4,0,17.12,
1166,21802,84,4,132,2024-08-26,Decommission,16,16,15,1,81.25,
1167,14328,19,6,132,2025-08-05,Wash & Inspect,20,20,20,0,55.04,Seal wear
1168,742,78,6,274,2023-09-08,wash & inspect,20,20,20,0,30.63,
1169,24307,39,10,277,2023-08-24,Wash & Inspect,10,10,8,2,103.38,Seal wear
1170,14376,53,4,54,2024-06-13,Cycle Count,32,28,25,3,103.42,
1171,10609,91,2,6,2023-06-23,Cycle Count,80,76,76,0,54.70,
1172,10967,102,5,227,2024-11-13,Wash & Inspect,80,80,80,0,56.54,
1173,2080,17,7,6,2024-12-16,Wash & Inspect,8,8,4,4,139.50,Seal wear
1174,10455,51,6,27,2025-06-29,Wash & Inspect,16,16,15,1,64.89,Odor detected
1175,24505,100,10,170,2023-10-04,Wash & Inspect,24,24,24,0,88.99,
1176,1229,115,8,54,2026-05-16,Repair,60,60,55,5,150.97,Odor detected
1177,10276,74,8,275,2023-09-09,Wash & Inspect,80,80,80,0,70.07,Count adjusted by hub
1178,24194,89,7,27,2024-02-28,Wash & Inspect,24,24,24,0,50.78,RFID unreadable
1179,5208,45,11,283,2023-09-04,Decommission,60,60,60,0,29.11,
1180,11964,66,6,88,2026-06-28,Wash & Inspect,40,40,40,0,54.62,
1181,7300,81,4,38,2026-02-13,Wash & Inspect,40,40,40,0,60.58,Count adjusted by hub
1182,24983,51,1,283,2023-06-01,wash & inspect,4,4,4,0,31.44,
1183,10632,78,5,6,2024-09-02,Wash & Inspect,16,16,12,4,181.77,Count adjusted by hub
1184,5379,111,10,2,2026-06-29,Decommission,16,16,15,1,84.23,RFID unreadable
1185,18201,118,7,275,2026-01-08,Decommission,20,20,20,0,55.13,
1186,26948,34,7,227,2025-01-22,Wash & Inspect,80,72,72,0,18.92,
1187,3757,16,1,227,2025-12-24,Wash & Inspect,10,10,10,0,80.67, 
1188,24601,16,6,227,2025-04-02,Wash & Inspect,60,60,59,1,114.14,awaiting QA
1189,20757,81,11,283,2025-03-26,wash & inspect,80,80,80,0,89.50,Seal wear
1190,13056,65,5,73,2026-03-31,Cycle Count,24,20,19,1,79.06,awaiting QA
1191,20631,96,8,157,2026-01-17,wash & inspect,32,32,32,0,17.70,
1192,19647,20,4,73,2023-05-20,Wash & Inspect,40,40,40,0,58.36,
1193,13618,8,1,274,2023-07-27,Wash & Inspect,16,16,13,3,157.02,Count adjusted by hub
1194,1106,23,8,141,2023-11-15,Wash & Inspect,4,4,4,0,41.01, 
1195,19336,104,3,98,2023-09-29,wash & inspect,12,12,12,0,21.65,Count adjusted by hub
1196,1012,33,3,275,2024-09-07,Wash & Inspect,40,40,40,0,45.00,awaiting QA
1197,21432,103,6,98,2024-12-16,Wash & Inspect,6,6,6,0,18.57,
1198,21477,117,10,27,2025-07-03,Wash & Inspect,16,16,16,0,47.42,Seal wear
1199,14123,71,1,38,2023-10-20,Repair,8,8,8,0,43.60,awaiting QA
1200,1179,36,7,86,2025-06-11,Wash & Inspect,8,8,8,0,89.86,
1201,1587,101,3,227,2026-06-04,Repair,60,60,60,0,20.83,Seal wear
1202,19565,101,6,283,2024-07-11,Wash & Inspect,16,16,16,0,80.48,awaiting QA
1203,2267,45,2,286,2024-02-18,Wash & Inspect,6,6,6,0,49.89,Seal wear
1204,14288,73,1,277,2025-07-28,Wash & Inspect,24,24,24,0,64.32,RFID unreadable
1205,19537,108,7,2,2024-11-21,Repair,10,10,10,0,23.44,awaiting QA
1206,25424,110,10,170,2023-04-11,Decommission,20,20,19,1,52.60,RFID unreadable
1207,15490,112,5,54,2023-04-12,Wash & Inspect,80,80,80,0,63.48,Odor detected
1208,26618,11,9,227,2024-09-20,Wash & Inspect,80,80,79,1,84.33,RFID unreadable
1209,1655,43,5,132,2024-04-18,Repair,16,14,14,0,25.76,
1210,25130,46,5,124,2024-07-01,Wash & Inspect,6,6,6,0,29.74,
1211,8658,9,6,217,2026-01-02,wash & inspect,8,12,12,0,56.81,awaiting QA
1212,14234,38,11,274,2025-03-24,Wash & Inspect,24,24,24,0,88.46,Odor detected
1213,24972,77,4,141,2023-09-26,Repair,6,6,6,0,9.51,Count adjusted by hub
1214,513,80,10,124,2024-03-01,Cycle Count,32,32,32,0,85.39, 
1215,6559,104,11,54,2023-07-07,Wash & Inspect,10,10,9,0,19.41,
1216,20498,91,2,86,2026-02-20,Wash & Inspect,32,32,31,0,46.79,Seal wear
1217,26730,47,7,157,2023-12-22,Decommission,4,4,4,0,43.68,
1218,11608,7,7,232,2023-02-03,Wash & Inspect,80,80,76,4,127.33,Odor detected
1219,25087,18,8,6,2024-12-30,Wash & Inspect,24,24,24,0,46.42,Count adjusted by hub
1220,25570,30,7,2,2026-02-27,wash & inspect,8,16,16,0,96.44,Odor detected
1221,26128,85,1,27,2023-01-26,Wash & Inspect,40,40,35,5,142.23,RFID unreadable
1222,11867,50,1,275,2023-10-12,Repair,40,38,38,0,37.80,Count adjusted by hub
1223,15824,63,3,38,2023-07-18,Wash & Inspect,24,25,25,0,74.30,
1224,22226,114,4,277,2026-06-08,Wash & Inspect,80,72,72,0,20.27, 
1225,7561,100,2,286,2025-10-28,Decommission,60,60,60,0,30.20, 
1226,11918,72,2,88,2025-11-02,wash & inspect,6,5,5,0,83.13,
1227,21328,110,5,217,2024-05-10,Wash & Inspect,8,8,8,0,63.90, 
1228,24164,43,4,170,2026-03-24,Decommission,16,16,16,0,89.30,Seal wear
1229,11830,70,3,132,2025-05-22,Decommission,8,8,8,0,54.88,
1230,9200,57,4,54,2025-10-04,Wash & Inspect,4,4,4,0,82.60, 
1231,10495,69,5,167,2025-01-11,Wash & Inspect,40,40,39,0,13.36,awaiting QA
1232,23541,40,10,157,2024-06-28,Wash & Inspect,60,60,60,0,44.19,Seal wear
1233,1206,31,5,100,2025-11-07,Decommission,32,32,32,0,15.72,Count adjusted by hub
1234,10353,23,3,132,2024-11-03,Wash & Inspect,4,4,0,4,104.83,
1235,26647,110,2,141,2026-02-23,Cycle Count,40,40,40,0,82.40,awaiting QA
1236,14294,54,3,124,2023-10-24,Wash & Inspect,40,40,40,0,87.18,Odor detected
1237,20704,97,10,141,2024-01-21,wash & inspect,10,10,10,0,60.21,Odor detected
1238,2521,115,4,86,2023-04-15,Wash & Inspect,60,60,60,0,26.04,
1239,23778,94,3,38,2025-01-28,Wash & Inspect,20,20,20,0,91.61,
1240,24926,50,8,132,2026-05-30,Wash & Inspect,10,10,10,0,60.94,awaiting QA
1241,25196,118,4,283,2025-04-17,Repair,80,80,80,0,27.37, 
1242,9692,50,8,217,2025-07-28,Wash & Inspect,24,24,24,0,78.72,awaiting QA
1243,16051,119,7,132,2025-11-24,Wash & Inspect,24,32,31,0,44.03,awaiting QA
1244,23080,82,6,38,2024-10-23,Wash & Inspect,60,60,60,0,80.38,
1245,1070,3,1,277,2023-09-19,Wash & Inspect,20,20,20,0,50.68,
1246,7648,6,1,86,2023-02-24,Wash & Inspect,6,6,5,0,48.95,Odor detected
1247,13734,90,11,141,2023-11-29,Wash & Inspect,40,42,42,0,55.92,Count adjusted by hub
1248,2787,54,5,277,2023-09-23,wash & inspect,80,76,76,0,11.32,
1249,22406,50,10,88,2024-02-04,Repair,10,10,10,0,69.25,
1250,13906,120,5,54,2026-03-17,Wash & Inspect,10,10,10,0,71.85,
1251,15180,43,1,217,2025-06-26,Wash & Inspect,40,40,40,0,82.81,awaiting QA
1252,17862,43,9,286,2024-05-13,Wash & Inspect,6,6,6,0,36.85,Count adjusted by hub
1253,24180,96,2,132,2025-05-24,Wash & Inspect,32,32,32,0,47.20, 
1254,17960,19,10,275,2025-07-31,Wash & Inspect,6,6,6,0,20.43,RFID unreadable
1255,15852,43,7,275,2024-04-04,Wash & Inspect,20,20,18,2,121.33,RFID unreadable
1256,9536,41,9,86,2024-10-19,Wash & Inspect,24,28,28,0,45.25,
1257,17695,70,10,2,2024-03-30,Wash & Inspect,16,24,21,3,149.81,
1258,20567,104,9,53,2025-06-17,Wash & Inspect,10,10,10,0,18.60,Seal wear
1259,14312,119,3,286,2024-03-10,Repair,60,60,60,0,68.66,Seal wear
1260,8092,116,9,88,2026-04-04,Wash & Inspect,20,28,28,0,64.66,awaiting QA
1261,12134,78,11,286,2025-01-15,Wash & Inspect,20,20,16,4,176.41,
1262,4167,27,7,217,2025-01-10,Wash & Inspect,12,12,12,0,21.13,Odor detected
1263,19757,46,10,2,2026-03-22,Wash & Inspect,40,40,39,0,79.44,
1264,17175,83,1,6,2025-06-25,Wash & Inspect,10,10,10,0,88.90,Seal wear
1265,5438,109,11,217,2026-01-04,wash & inspect,6,6,6,0,12.96, 
1266,10650,5,1,277,2024-06-19,Repair,12,12,12,0,58.52,
1267,11257,56,9,100,2026-06-28,Decommission,12,20,19,1,50.39,Seal wear
1268,9074,44,10,27,2023-07-25,wash & inspect,6,2,2,0,87.11,Count adjusted by hub
1269,24230,79,9,274,2023-06-05,wash & inspect,80,81,81,0,65.44,
1270,24006,5,6,232,2024-02-15,Repair,10,10,10,0,41.95,Odor detected
1271,21718,3,2,232,2024-09-18,Wash & Inspect,12,12,12,0,79.95,
1272,22994,82,3,88,2025-02-05,Wash & Inspect,4,4,4,0,21.46,RFID unreadable
1273,12167,113,6,132,2023-01-29,Wash & Inspect,32,32,32,0,37.84,Odor detected
1274,9818,83,5,170,2025-12-06,Repair,40,48,48,0,39.01,RFID unreadable
1275,276,59,11,2,2025-01-21,Wash & Inspect,8,8,8,0,45.13,Odor detected
1276,1090,8,4,88,2024-02-22,Wash & Inspect,16,16,16,0,74.95,Odor detected
1277,1189,90,8,277,2023-09-14,Wash & Inspect,40,40,40,0,49.18,
1278,17574,56,10,217,2025-05-04,Wash & Inspect,60,60,60,0,44.57,Seal wear
1279,15541,23,8,275,2024-01-27,Wash & Inspect,8,8,5,3,152.91,
1280,7480,116,7,277,2025-03-23,Wash & Inspect,10,6,6,0,25.42,
1281,14635,41,6,141,2023-09-28,Wash & Inspect,8,8,8,0,44.70, 
1282,15739,21,4,157,2023-11-02,Wash & Inspect,4,4,4,0,95.76, 
1283,7991,55,3,232,2026-02-20,wash & inspect,24,24,24,0,77.33,RFID unreadable
1284,11627,15,6,286,2023-06-14,Repair,10,10,5,5,190.97,RFID unreadable
1285,2010,38,4,86,2023-01-24,Wash & Inspect,60,60,60,0,41.31,
1286,8762,42,9,232,2023-02-07,Decommission,24,24,24,0,94.87,Count adjusted by hub
1287,4718,14,10,54,2023-09-23,Repair,20,20,20,0,97.82,
1288,3492,52,3,88,2023-11-10,Wash & Inspect,60,60,60,0,92.46,Odor detected
1289,24445,74,9,217,2026-02-28,Wash & Inspect,60,56,56,0,30.95,awaiting QA
1290,2282,75,7,86,2024-02-26,Cycle Count,16,16,16,0,68.12,awaiting QA
1291,15222,111,8,98,2024-04-23,wash & inspect,60,60,59,0,22.01,Odor detected
1292,5163,115,1,227,2024-09-15,Wash & Inspect,4,4,4,0,39.59,
1293,22335,101,9,132,2025-09-15,Repair,6,6,6,0,28.46,
1294,19022,86,6,283,2026-06-01,Wash & Inspect,6,2,2,0,8.67,Seal wear
1295,11821,62,5,86,2023-03-24,Wash & Inspect,6,6,5,1,77.14,Seal wear
1296,8148,27,9,73,2023-07-04,Wash & Inspect,4,4,4,0,23.88,RFID unreadable
1297,22033,113,10,286,2023-01-29,Decommission,20,20,19,1,53.75,
1298,23615,49,4,100,2025-09-30,Wash & Inspect,10,10,9,0,72.87,
1299,9432,5,8,132,2023-11-29,Wash & Inspect,4,4,4,0,66.22,Odor detected
1300,9566,103,10,88,2024-06-22,Wash & Inspect,24,23,23,0,41.71,RFID unreadable
1301,23049,70,3,157,2025-11-16,Wash & Inspect,6,6,6,0,27.46,Seal wear
1302,8160,25,11,141,2023-07-28,Repair,80,80,79,1,32.48,awaiting QA
1303,12854,56,4,217,2025-06-10,Wash & Inspect,10,9,9,0,31.64,Count adjusted by hub
1304,5854,26,9,170,2026-02-09,Wash & Inspect,80,88,88,0,58.28,Odor detected
1305,8969,104,9,157,2024-02-04,Wash & Inspect,12,12,12,0,9.38,Count adjusted by hub
1306,7026,100,3,6,2026-06-11,Wash & Inspect,16,16,15,0,8.34,Count adjusted by hub
1307,24273,25,9,124,2024-01-15,Wash & Inspect,24,26,23,3,102.19,
1308,27280,102,3,100,2025-05-21,Wash & Inspect,8,8,5,3,134.46,
1309,8007,7,3,6,2026-01-06,Cycle Count,32,32,32,0,37.49,RFID unreadable
1310,22970,106,5,38,2024-07-08,Cycle Count,12,12,12,0,39.24,RFID unreadable
1311,12802,1,10,275,2023-06-24,Decommission,24,16,16,0,62.04,Count adjusted by hub
1312,23867,15,1,86,2024-11-03,Wash & Inspect,6,6,6,0,20.29,Odor detected
1313,15303,59,1,283,2025-05-21,Wash & Inspect,10,10,10,0,86.90,RFID unreadable
1314,9049,25,10,38,2025-09-06,Cycle Count,4,2,2,0,94.82,RFID unreadable
1315,19048,90,3,167,2023-11-18,Cycle Count,6,6,6,0,62.84,awaiting QA
1316,10652,4,3,124,2025-03-17,Repair,6,0,0,0,91.14,
1317,3174,39,10,274,2024-04-11,Repair,4,4,4,0,34.70,awaiting QA
1318,7152,23,2,100,2024-06-02,Repair,60,60,60,0,63.36,
1319,8813,42,1,98,2026-01-31,Repair,40,40,39,0,16.39, 
1320,17610,34,2,167,2023-11-27,wash & inspect,40,36,31,4,121.01,Seal wear
1321,14523,81,4,274,2026-02-28,Wash & Inspect,6,6,6,0,73.60,
1322,5383,106,4,217,2024-06-23,Wash & Inspect,16,17,17,0,23.98,awaiting QA
1323,12640,89,1,167,2024-10-28,Repair,32,32,31,0,41.33,
1324,26790,102,5,2,2026-01-22,Wash & Inspect,16,16,16,0,82.35,
1325,22355,59,2,73,2023-06-10,Wash & Inspect,12,12,7,5,188.57,RFID unreadable
1326,15150,52,4,132,2025-01-09,Wash & Inspect,60,60,60,0,66.82,
1327,12845,99,7,27,2024-07-24,Decommission,24,24,24,0,50.79,
1328,12067,75,10,86,2024-09-06,Wash & Inspect,16,18,18,0,22.50,
1329,17144,111,5,232,2024-04-16,Wash & Inspect,10,10,10,0,21.46,Seal wear
1330,6554,20,11,100,2024-09-02,Cycle Count,60,64,64,0,8.57,Count adjusted by hub
1331,21251,50,8,100,2023-01-15,Wash & Inspect,8,8,8,0,57.24,awaiting QA
1332,27001,98,2,275,2024-03-12,Wash & Inspect,80,80,80,0,84.64,Count adjusted by hub
1333,362,58,5,38,2024-12-12,Decommission,32,32,32,0,79.97,
1334,4251,81,3,86,2023-07-31,Decommission,80,80,79,0,82.48,
1335,11336,38,3,170,2026-05-14,Wash & Inspect,8,4,4,0,59.78,awaiting QA
1336,17511,38,3,54,2024-09-26,wash & inspect,4,4,4,0,78.47,RFID unreadable
1337,11667,34,10,274,2024-04-27,Wash & Inspect,8,8,8,0,54.77,awaiting QA
1338,2529,109,10,167,2023-11-15,Wash & Inspect,8,12,12,0,75.50,
1339,6404,38,1,98,2024-03-28,Repair,10,10,8,2,112.65,awaiting QA
1340,4439,34,11,277,2025-09-25,Repair,24,24,24,0,18.87,
1341,6556,82,3,2,2023-03-15,Wash & Inspect,8,8,8,0,57.55,
1342,25643,107,5,227,2023-04-23,Cycle Count,16,16,16,0,57.20,
1343,19219,9,4,141,2023-03-24,Repair,10,10,10,0,64.14, 
1344,1608,70,6,157,2024-11-04,Wash & Inspect,10,10,9,0,28.94, 
1345,24331,32,2,88,2024-02-13,Repair,8,8,8,0,50.22, 
1346,991,90,11,124,2023-03-29,Wash & Inspect,16,18,18,0,69.73,
1347,26394,59,2,170,2024-04-19,Wash & Inspect,32,24,24,0,95.58,
1348,22168,81,7,53,2025-11-01,Wash & Inspect,10,10,9,0,70.16,
1349,17789,118,11,73,2025-03-05,Repair,40,40,40,0,88.09,
1350,10623,39,6,124,2025-04-22,Wash & Inspect,12,12,12,0,27.59,
1351,25680,22,1,170,2026-04-18,Repair,32,32,30,2,144.48, 
1352,3478,112,4,124,2024-05-28,wash & inspect,6,6,6,0,89.90,
1353,13188,84,9,54,2024-01-20,Wash & Inspect,4,12,12,0,36.34,Seal wear
1354,18790,117,9,73,2023-03-26,Cycle Count,6,6,6,0,65.49, 
1355,8667,115,1,217,2023-11-30,Repair,8,8,8,0,47.82,
1356,17299,59,2,54,2026-04-19,Wash & Inspect,4,4,4,0,51.39,Seal wear
1357,18890,49,5,157,2024-02-16,wash & inspect,12,12,12,0,39.91,RFID unreadable
1358,23922,58,11,53,2024-08-08,Wash & Inspect,6,6,6,0,79.64,
1359,16272,113,9,141,2024-05-10,Wash & Inspect,12,12,12,0,63.65,awaiting QA
1360,17475,5,8,286,2025-06-19,Repair,32,32,32,0,65.08,Seal wear
1361,11455,43,3,232,2024-11-12,Wash & Inspect,40,44,43,0,87.42,
1362,25722,87,1,217,2024-12-19,Wash & Inspect,8,8,8,0,83.38,RFID unreadable
1363,1356,105,1,170,2023-11-14,Wash & Inspect,40,40,40,0,67.34, 
1364,18698,116,9,227,2025-07-29,Wash & Inspect,20,20,18,2,112.35,RFID unreadable
1365,25791,70,6,88,2024-08-15,Cycle Count,4,4,4,0,92.39,Seal wear
1366,2937,60,8,277,2023-10-31,Wash & Inspect,32,32,32,0,80.10,
1367,26274,71,5,132,2026-01-18,wash & inspect,8,8,8,0,96.10,Count adjusted by hub
1368,10272,41,2,283,2024-12-26,wash & inspect,4,4,4,0,61.20,RFID unreadable
1369,20166,53,8,124,2025-08-22,Repair,16,16,16,0,79.33, 
1370,4692,7,6,283,2023-07-01,Wash & Inspect,32,32,32,0,63.27,
1371,1241,115,7,157,2024-12-19,wash & inspect,16,16,16,0,48.94, 
1372,22771,94,2,227,2025-09-25,Decommission,12,12,11,1,88.38, 
1373,23050,35,3,275,2026-01-17,Wash & Inspect,60,60,60,0,47.95,Count adjusted by hub
1374,18060,50,8,227,2023-01-17,Wash & Inspect,16,16,16,0,23.33,Odor detected
1375,9488,18,6,217,2023-09-18,Wash & Inspect,60,60,56,4,162.63,Seal wear
1376,1215,81,5,100,2025-10-16,Cycle Count,8,8,8,0,12.91,
1377,9424,53,8,100,2025-03-31,wash & inspect,8,8,5,3,106.40, 
1378,12602,98,6,277,2025-07-09,wash & inspect,12,12,6,5,171.51,
1379,25633,81,2,124,2024-11-11,Wash & Inspect,32,32,27,5,190.11,
1380,9388,31,7,100,2025-04-12,Wash & Inspect,40,40,40,0,34.68,awaiting QA
1381,9597,68,6,232,2026-01-19,Wash & Inspect,8,8,8,0,34.12,awaiting QA
1382,3907,82,10,286,2025-08-30,Wash & Inspect,80,80,80,0,89.61,RFID unreadable
1383,1628,40,5,132,2025-07-02,Cycle Count,80,84,84,0,32.87,Seal wear
1384,25221,102,8,157,2026-05-06,wash & inspect,32,32,32,0,61.88,
1385,3654,55,10,274,2025-09-04,wash & inspect,60,60,60,0,68.51,
1386,27055,22,5,275,2025-04-20,Repair,20,20,20,0,38.14,Count adjusted by hub
1387,26380,4,10,227,2025-07-18,Wash & Inspect,16,16,16,0,52.49,Odor detected
1388,21386,34,8,132,2026-02-01,Wash & Inspect,32,32,31,0,92.19,
1389,21899,25,3,73,2024-04-08,Wash & Inspect,24,24,24,0,36.54, 
1390,24922,102,3,98,2025-12-17,Wash & Inspect,40,40,39,0,66.51,RFID unreadable
1391,4760,119,10,86,2025-09-23,Wash & Inspect,24,20,20,0,83.55,
1392,23660,115,6,2,2024-06-28,Wash & Inspect,40,40,40,0,29.50,
1393,9540,41,3,27,2023-05-14,Wash & Inspect,20,20,16,4,118.25, 
1394,9874,115,8,86,2025-02-08,Wash & Inspect,6,6,6,0,79.52,Seal wear
1395,17507,13,3,124,2024-09-12,Repair,24,24,24,0,59.96,awaiting QA
1396,22190,78,9,217,2026-02-07,wash & inspect,12,11,11,0,76.25,RFID unreadable
1397,6789,15,3,100,2023-04-27,Wash & Inspect,20,16,16,0,92.65,awaiting QA
1398,21169,107,9,86,2025-05-13,Wash & Inspect,20,20,20,0,45.38,Odor detected
1399,20320,19,2,54,2024-11-25,Wash & Inspect,40,40,40,0,72.61,Count adjusted by hub
1400,5407,53,11,132,2026-06-25,Repair,6,6,6,0,60.60,
1401,13132,16,4,283,2024-12-19,Wash & Inspect,80,80,77,3,146.46,
1402,7661,86,9,73,2024-05-27,wash & inspect,6,6,4,2,67.33,Odor detected
